OID,FID,GRP,LYR
1329,19402,3,11,
1330,19403,1,12,
1331,19404,1,13,
1332,19405,7,6,
1333,19406,1,12,
1334,19407,15,4,
1335,19408,1,12,
1336,19409,1,13,
1337,19410,1,12,
1338,19411,1,13,
1339,19412,-1,-1,
1340,19413,7,6,
1341,19414,3,11,
1342,19415,1,12,
1343,19416,1,13,
1344,19417,25,4,
1345,19418,1,12,
1346,19419,7,7,
1347,19420,1,13,
1348,19421,15,5,
1349,19422,1,13,
1350,19423,1,13,
1351,19424,1,13,
1352,19425,1,13,
1353,19426,1,13,
1354,19427,1,13,
1355,19428,1,13,
1356,19429,1,13,
1357,19430,1,12,
1358,19431,1,13,
1359,19432,1,12,
1360,19433,15,5,
1361,19434,7,7,
1362,19435,25,4,
1363,19436,1,13,
1364,19437,6,10,
1365,19438,1,13,
1366,19439,46,2,
1367,19440,7,7,
1368,19441,1,13,
1369,19442,1,12,
1370,19443,56,1,
1371,19444,1,13,
1372,19445,7,6,
1373,19446,1,13,
1374,19447,53,2,
1375,19448,25,4,
1376,19449,1,12,
1377,19450,7,7,
1378,19451,1,12,
1379,19452,16,6,
1380,19453,7,7,
1381,19454,1,13,
1382,19455,-1,-1,
1383,19456,1,13,
1384,19457,11,4,
1385,19458,1,9,
1386,19459,15,4,
1387,19460,-1,-1,
1388,19461,1,12,
1389,19462,1,13,
1390,19463,1,13,
1391,19464,53,2,
1392,19465,1,13,
1393,19466,1,13,
1394,19467,1,12,
1395,19468,7,7,
1396,19469,25,3,
1397,19470,1,13,
1398,19471,1,13,
1399,19472,1,13,
1400,19473,1,13,
1401,19474,1,12,
1402,19475,31,3,
1403,19476,1,13,
1404,19477,1,13,
1405,19478,15,5,
1406,19479,15,4,
1407,19480,7,7,
1408,19481,1,13,
1409,19482,1,13,
1410,19483,-1,-1,
1411,19484,3,12,
1412,19485,1,12,
1413,19486,1,13,
1414,19487,1,13,
1415,19488,-1,-1,
1416,19489,1,13,
1417,19490,1,12,
1418,19491,1,14,
1419,19492,1,9,
1420,19493,1,12,
1421,19494,1,14,
1422,19495,58,3,
1423,19496,-1,-1,
1424,19497,1,12,
1425,19498,3,12,
1426,19499,1,13,
1427,19500,25,4,
1428,19501,1,13,
1429,19502,3,12,
1430,19503,1,13,
1431,19504,1,14,
1432,19505,3,12,
1433,19506,37,1,
1434,19507,1,13,
1435,19508,7,6,
1436,19509,1,13,
1437,19510,37,1,
1438,19511,1,13,
1439,19512,1,13,
1440,19513,1,9,
1441,19514,1,13,
1442,19515,1,13,
1443,19516,3,12,
1444,19517,53,2,
1445,19518,-1,-1,
1446,19519,1,13,
1447,19520,-1,-1,
1448,19521,1,13,
1449,19522,1,9,
1450,19523,7,7,
1451,19524,-1,-1,
1452,19525,1,13,
1453,19526,15,5,
1454,19527,-1,-1,
1455,19528,85,0,
1456,19529,16,6,
1457,19530,1,13,
1458,19531,25,5,
1459,19532,1,13,
1460,19533,1,14,
1461,19534,1,13,
1462,19535,16,6,
1463,19536,-1,-1,
1464,19537,-1,-1,
1465,19538,1,13,
1466,19539,7,7,
1467,19540,1,13,
1468,19541,15,5,
1469,19542,1,13,
1470,19543,1,13,
1471,19544,86,0,
1472,19545,53,2,
1473,19546,1,13,
1474,19547,1,13,
1475,19548,25,5,
1476,19549,1,13,
1477,19550,1,13,
1478,19551,1,13,
1479,19552,1,13,
1480,19553,7,7,
1481,19554,38,3,
1482,19555,1,13,
1483,19556,7,7,
1484,19557,1,12,
1485,19558,1,13,
1486,19559,1,9,
1487,19560,1,14,
1488,19561,1,13,
1489,19562,1,14,
1490,19563,1,13,
1491,19564,13,6,
1492,19565,3,11,
1493,19566,1,13,
1494,19567,1,13,
1495,19568,7,7,
1496,19569,1,13,
1497,19570,1,13,
1498,19571,1,13,
1499,19572,11,5,
1500,19573,1,14,
1501,19574,13,5,
1502,19575,1,13,
1503,19576,15,5,
1504,19577,1,13,
1505,19578,1,13,
1506,19579,1,14,
1507,19580,1,13,
1508,19581,1,14,
1509,19582,1,13,
1510,19583,1,13,
1511,19584,-1,-1,
1512,19585,1,14,
1513,19586,-1,-1,
1514,19587,1,13,
1515,19588,7,7,
1516,19589,1,14,
1517,19590,53,2,
1518,19591,1,13,
1519,19592,3,12,
1520,19593,3,11,
1521,19594,1,14,
1522,19595,1,14,
1523,19596,7,7,
1524,19597,5,5,
1525,19598,31,6,
1526,19599,1,9,
1527,19600,31,6,
1528,19601,1,13,
1529,19602,1,14,
1530,19603,1,14,
1531,19604,25,5,
1532,19605,16,4,
1533,19606,3,12,
1534,19607,1,14,
1535,19608,1,14,
1536,19609,1,13,
1537,19610,1,13,
1538,19611,1,14,
1539,19612,15,5,
1540,19613,1,14,
1541,19614,1,9,
1542,19615,13,5,
1543,19616,3,12,
1544,19617,69,1,
1545,19618,1,14,
1546,19619,1,13,
1547,19620,1,13,
1548,19621,53,2,
1549,19622,1,13,
1550,19623,1,13,
1551,19624,1,13,
1552,19625,1,13,
1553,19626,7,7,
1554,19627,1,14,
1555,19628,-1,-1,
1556,19629,1,14,
1557,19630,16,7,
1558,19631,-1,-1,
1559,19632,3,12,
1560,19633,25,4,
1561,19634,15,6,
1562,19635,7,8,
1563,19636,87,0,
1564,19637,1,14,
1565,19638,1,13,
1566,19639,1,13,
1567,19640,7,7,
1568,19641,1,13,
1569,19642,1,14,
1570,19643,1,14,
1571,19644,1,14,
1572,19645,1,13,
1573,19646,16,6,
1574,19647,1,14,
1575,19648,1,13,
1576,19649,7,7,
1577,19650,1,14,
1578,19651,31,5,
1579,19652,15,6,
1580,19653,1,14,
1581,19654,1,14,
1582,19655,1,14,
1583,19656,7,8,
1584,19657,1,14,
1585,19658,-1,-1,
1586,19659,-1,-1,
1587,19660,1,13,
1588,19661,1,14,
1589,19662,1,13,
1590,19663,1,14,
1591,19664,1,14,
1592,19665,1,13,
1593,19666,1,14,
1594,19667,1,14,
1595,19668,1,14,
1596,19669,1,14,
1597,19670,1,14,
1598,19671,1,13,
1599,19672,1,13,
1600,19673,1,9,
1601,19674,1,14,
1602,19675,7,7,
1603,19676,16,6,
1604,19677,7,6,
1605,19678,3,12,
1606,19679,81,1,
1607,19680,1,9,
1608,19681,1,13,
1609,19682,88,0,
1610,19683,15,6,
1611,19684,1,13,
1612,19685,1,14,
1613,19686,11,6,
1614,19687,3,12,
1615,19688,7,7,
1616,19689,1,9,
1617,19690,1,13,
1618,19691,1,14,
1619,19692,25,5,
1620,19693,7,8,
1621,19694,-1,-1,
1622,19695,1,13,
1623,19696,31,6,
1624,19697,7,7,
1625,19698,1,13,
1626,19699,1,13,
1627,19700,1,14,
1628,19701,1,13,
1629,19702,1,13,
1630,19703,1,14,
1631,19704,1,13,
1632,19705,89,0,
1633,19706,3,12,
1634,19707,13,6,
1635,19708,1,13,
1636,19709,1,14,
1637,19710,1,14,
1638,19711,25,5,
1639,19712,1,14,
1640,19713,1,13,
1641,19714,7,8,
1642,19715,15,6,
1643,19716,1,13,
1644,19717,16,6,
1645,19718,1,14,
1646,19719,1,14,
1647,19720,7,8,
1648,19721,1,14,
1649,19722,1,14,
1650,19723,1,14,
1651,19724,1,13,
1652,19725,1,13,
1653,19726,1,13,
1654,19727,1,14,
1655,19728,1,14,
1656,19729,1,14,
1657,19730,3,12,
1658,19731,1,14,
1659,19732,1,14,
1660,19733,1,14,
1661,19734,1,13,
1662,19735,1,14,
1663,19736,3,12,
1664,19737,1,9,
1665,19738,1,14,
1666,19739,1,14,
1667,19740,58,3,
1668,19741,16,6,
1669,19742,1,13,
1670,19743,1,14,
1671,19744,1,14,
1672,19745,1,13,
1673,19746,1,13,
1674,19747,-1,-1,
1675,19748,1,14,
1676,19749,1,13,
1677,19750,1,14,
1678,19751,1,13,
1679,19752,1,13,
1680,19753,-1,-1,
1681,19754,1,14,
1682,19755,1,10,
1683,19756,25,5,
1684,19757,15,6,
1685,19758,1,13,
1686,19759,1,14,
1687,19760,1,14,
1688,19761,7,8,
1689,19762,1,14,
1690,19763,1,14,
1691,19764,1,13,
1692,19765,3,13,
1693,19766,41,1,
1694,19767,1,13,
1695,19768,1,13,
1696,19769,1,14,
1697,19770,13,5,
1698,19771,1,14,
1699,19772,53,3,
1700,19773,1,14,
1701,19774,7,7,
1702,19775,1,14,
1703,19776,-1,-1,
1704,19777,-1,-1,
1705,19778,1,14,
1706,19779,1,13,
1707,19780,15,6,
1708,19781,1,14,
1709,19782,7,8,
1710,19783,1,10,
1711,19784,1,14,
1712,19785,1,14,
1713,19786,3,13,
1714,19787,1,14,
1715,19788,1,13,
1716,19789,1,10,
1717,19790,-1,-1,
1718,19791,1,10,
1719,19792,25,5,
1720,19793,1,14,
1721,19794,1,14,
1722,19795,1,14,
1723,19796,7,7,
1724,19797,1,13,
1725,19798,1,14,
1726,19799,1,14,
1727,19800,1,13,
1728,19801,1,14,
1729,19802,3,12,
1730,19803,1,14,
1731,19804,53,3,
1732,19805,1,13,
1733,19806,-1,-1,
1734,19807,1,14,
1735,19808,7,7,
1736,19809,1,13,
1737,19810,46,3,
1738,19811,36,5,
1739,19812,1,15,
1740,19813,1,14,
1741,19814,1,15,
1742,19815,1,13,
1743,19816,1,13,
1744,19817,16,6,
1745,19818,1,10,
1746,19819,6,11,
1747,19820,1,10,
1748,19821,1,10,
1749,19822,1,10,
1750,19823,1,14,
1751,19824,90,0,
1752,19825,13,5,
1753,19826,1,14,
1754,19827,1,13,
1755,19828,1,14,
1756,19829,7,8,
1757,19830,1,14,
1758,19831,41,1,
1759,19832,1,14,
1760,19833,1,14,
1761,19834,1,13,
1762,19835,13,4,
1763,19836,1,15,
1764,19837,1,15,
1765,19838,1,10,
1766,19839,1,13,
1767,19840,68,2,
1768,19841,1,14,
1769,19842,3,13,
1770,19843,3,13,
1771,19844,1,15,
1772,19845,1,13,
1773,19846,1,10,
1774,19847,1,10,
1775,19848,1,13,
1776,19849,1,14,
1777,19850,1,15,
1778,19851,1,14,
1779,19852,1,14,
1780,19853,1,10,
1781,19854,1,15,
1782,19855,11,5,
1783,19856,1,13,
1784,19857,1,15,
1785,19858,1,14,
1786,19859,7,8,
1787,19860,1,14,
1788,19861,1,10,
1789,19862,3,13,
1790,19863,1,14,
1791,19864,1,15,
1792,19865,1,14,
1793,19866,58,4,
1794,19867,46,3,
1795,19868,15,6,
1796,19869,1,15,
1797,19870,1,15,
1798,19871,1,15,
1799,19872,1,10,
1800,19873,1,10,
1801,19874,1,14,
1802,19875,1,15,
1803,19876,7,8,
1804,19877,34,3,
1805,19878,25,5,
1806,19879,1,14,
1807,19880,1,14,
1808,19881,1,14,
1809,19882,25,6,
1810,19883,91,0,
1811,19884,1,10,
1812,19885,34,3,
1813,19886,25,5,
1814,19887,1,14,
1815,19888,1,14,
1816,19889,1,14,
1817,19890,1,14,
1818,19891,1,14,
1819,19892,53,3,
1820,19893,1,10,
1821,19894,1,13,
1822,19895,7,8,
1823,19896,7,8,
1824,19897,1,14,
1825,19898,-1,-1,
1826,19899,1,14,
1827,19900,1,15,
1828,19901,1,14,
1829,19902,7,4,
1830,19903,3,12,
1831,19904,1,14,
1832,19905,69,1,
1833,19906,1,13,
1834,19907,16,7,
1835,19908,1,14,
1836,19909,3,13,
1837,19910,16,7,
1838,19911,1,13,
1839,19912,1,14,
1840,19913,-1,-1,
1841,19914,1,14,
1842,19915,3,12,
1843,19916,1,15,
1844,19917,1,14,
1845,19918,3,12,
1846,19919,1,15,
1847,19920,1,10,
1848,19921,7,8,
1849,19922,1,14,
1850,19923,1,14,
1851,19924,7,8,
1852,19925,1,15,
1853,19926,1,10,
1854,19927,1,14,
1855,19928,1,14,
1856,19929,1,15,
1857,19930,1,15,
1858,19931,1,14,
1859,19932,1,14,
1860,19933,1,15,
1861,19934,7,7,
1862,19935,3,13,
1863,19936,1,14,
1864,19937,-1,-1,
1865,19938,1,14,
1866,19939,1,15,
1867,19940,1,15,
1868,19941,1,15,
1869,19942,7,8,
1870,19943,7,8,
1871,19944,1,15,
1872,19945,-1,-1,
1873,19946,1,14,
1874,19947,7,8,
1875,19948,1,14,
1876,19949,1,14,
1877,19950,-1,-1,
1878,19951,6,7,
1879,19952,1,14,
1880,19953,1,15,
1881,19954,1,14,
1882,19955,1,15,
1883,19956,1,13,
1884,19957,16,6,
1885,19958,1,14,
1886,19959,1,14,
1887,19960,-1,-1,
1888,19961,25,5,
1889,19962,7,8,
1890,19963,1,15,
1891,19964,7,8,
1892,19965,3,12,
1893,19966,1,10,
1894,19967,1,15,
1895,19968,1,10,
1896,19969,1,14,
1897,19970,1,14,
1898,19971,1,14,
1899,19972,7,8,
1900,19973,1,14,
1901,19974,1,10,
1902,19975,1,14,
1903,19976,64,1,
1904,19977,1,15,
1905,19978,3,12,
1906,19979,1,10,
1907,19980,73,1,
1908,19981,1,14,
1909,19982,1,14,
1910,19983,42,1,
1911,19984,11,6,
1912,19985,1,14,
1913,19986,7,8,
1914,19987,1,15,
1915,19988,1,15,
1916,19989,16,7,
1917,19990,1,14,
1918,19991,16,6,
1919,19992,1,14,
1920,19993,-1,-1,
1921,19994,3,13,
1922,19995,1,10,
1923,19996,1,14,
1924,19997,1,10,
1925,19998,1,10,
1926,19999,11,6,
1927,20000,1,15,
1928,20001,11,6,
1929,20002,1,15,
1930,20003,3,13,
1931,20004,1,10,
1932,20005,7,8,
1933,20006,13,7,
1934,20007,11,6,
1935,20008,1,10,
1936,20009,1,14,
1937,20010,1,15,
1938,20011,1,10,
1939,20012,1,15,
1940,20013,1,15,
1941,20014,-1,-1,
1942,20015,1,15,
1943,20016,1,14,
1944,20017,1,15,
1945,20018,1,10,
1946,20019,1,14,
1947,20020,1,14,
1948,20021,3,13,
1949,20022,-1,-1,
1950,20023,1,10,
1951,20024,-1,-1,
1952,20025,34,3,
1953,20026,-1,-1,
1954,20027,1,14,
1955,20028,1,14,
1956,20029,7,8,
1957,20030,1,14,
1958,20031,3,13,
1959,20032,1,14,
1960,20033,3,13,
1961,20034,1,14,
1962,20035,31,5,
1963,20036,1,14,
1964,20037,1,15,
1965,20038,1,15,
1966,20039,1,15,
1967,20040,1,15,
1968,20041,1,10,
1969,20042,7,9,
1970,20043,-1,-1,
1971,20044,11,7,
1972,20045,68,2,
1973,20046,11,7,
1974,20047,1,14,
1975,20048,-1,-1,
1976,20049,1,14,
1977,20050,1,15,
1978,20051,1,10,
1979,20052,1,14,
1980,20053,1,15,
1981,20054,11,6,
1982,20055,1,15,
1983,20056,11,7,
1984,20057,92,0,
1985,20058,13,7,
1986,20059,1,10,
1987,20060,1,15,
1988,20061,1,10,
1989,20062,1,15,
1990,20063,1,14,
1991,20064,1,14,
1992,20065,1,14,
1993,20066,34,3,
1994,20067,1,10,
1995,20068,3,13,
1996,20069,1,15,
1997,20070,34,3,
1998,20071,1,10,
1999,20072,7,8,
2000,20073,1,15,
2001,20074,1,14,
2002,20075,1,14,
2003,20076,16,8,
2004,20077,1,10,
2005,20078,16,5,
2006,20079,1,15,
2007,20080,1,14,
2008,20081,1,15,
2009,20082,1,14,
2010,20083,11,6,
2011,20084,1,14,
2012,20085,3,13,
2013,20086,1,10,
2014,20087,1,14,
2015,20088,1,15,
2016,20089,1,15,
2017,20090,1,15,
2018,20091,1,14,
2019,20092,-1,-1,
2020,20093,7,9,
2021,20094,1,15,
2022,20095,1,15,
2023,20096,1,15,
2024,20097,1,15,
2025,20098,1,14,
2026,20099,1,15,
2027,20100,1,15,
2028,20101,1,14,
2029,20102,5,6,
2030,20103,1,14,
2031,20104,15,7,
2032,20105,11,7,
2033,20106,7,8,
2034,20107,81,2,
2035,20108,1,14,
2036,20109,1,14,
2037,20110,48,1,
2038,20111,25,6,
2039,20112,1,10,
2040,20113,1,15,
2041,20114,1,10,
2042,20115,3,13,
2043,20116,1,10,
2044,20117,1,14,
2045,20118,3,13,
2046,20119,1,15,
2047,20120,1,15,
2048,20121,1,15,
2049,20122,7,8,
2050,20123,1,14,
2051,20124,1,15,
2052,20125,15,7,
2053,20126,1,14,
2054,20127,48,1,
2055,20128,1,15,
2056,20129,-1,-1,
2057,20130,1,15,
2058,20131,1,10,
2059,20132,1,14,
2060,20133,1,15,
2061,20134,1,14,
2062,20135,1,15,
2063,20136,1,10,
2064,20137,-1,-1,
2065,20138,1,14,
2066,20139,1,14,
2067,20140,7,9,
2068,20141,1,10,
2069,20142,1,14,
2070,20143,1,15,
2071,20144,7,8,
2072,20145,1,14,
2073,20146,1,15,
2074,20147,11,6,
2075,20148,1,14,
2076,20149,1,15,
2077,20150,1,14,
2078,20151,-1,-1,
2079,20152,1,10,
2080,20153,1,14,
2081,20154,1,10,
2082,20155,15,7,
2083,20156,1,10,
2084,20157,1,15,
2085,20158,1,14,
2086,20159,7,8,
2087,20160,1,14,
2088,20161,1,14,
2089,20162,1,10,
2090,20163,1,14,
2091,20164,15,6,
2092,20165,1,15,
2093,20166,1,15,
2094,20167,1,15,
2095,20168,1,14,
2096,20169,1,14,
2097,20170,16,8,
2098,20171,15,7,
2099,20172,1,14,
2100,20173,7,9,
2101,20174,7,8,
2102,20175,5,6,
2103,20176,1,15,
2104,20177,1,15,
2105,20178,1,15,
2106,20179,1,11,
2107,20180,-1,-1,
2108,20181,1,15,
2109,20182,1,15,
2110,20183,1,15,
2111,20184,1,15,
2112,20185,11,7,
2113,20186,1,11,
2114,20187,1,14,
2115,20188,1,14,
2116,20189,1,15,
2117,20190,1,11,
2118,20191,1,14,
2119,20192,1,15,
2120,20193,11,7,
2121,20194,1,11,
2122,20195,1,14,
2123,20196,87,1,
2124,20197,1,14,
2125,20198,1,11,
2126,20199,1,14,
2127,20200,1,11,
2128,20201,11,5,
2129,20202,13,4,
2130,20203,1,15,
2131,20204,1,15,
2132,20205,1,14,
2133,20206,1,15,
2134,20207,11,5,
2135,20208,1,14,
2136,20209,1,14,
2137,20210,11,7,
2138,20211,1,15,
2139,20212,1,11,
2140,20213,1,15,
2141,20214,1,14,
2142,20215,1,15,
2143,20216,1,15,
2144,20217,1,11,
2145,20218,1,11,
2146,20219,53,4,
2147,20220,-1,-1,
2148,20221,1,14,
2149,20222,-1,-1,
2150,20223,1,15,
2151,20224,1,11,
2152,20225,1,15,
2153,20226,1,14,
2154,20227,-1,-1,
2155,20228,1,15,
2156,20229,1,14,
2157,20230,1,15,
2158,20231,-1,-1,
2159,20232,1,14,
2160,20233,1,14,
2161,20234,1,15,
2162,20235,1,11,
2163,20236,-1,-1,
2164,20237,3,14,
2165,20238,7,9,
2166,20239,7,9,
2167,20240,1,14,
2168,20241,58,4,
2169,20242,1,16,
2170,20243,1,15,
2171,20244,1,15,
2172,20245,7,8,
2173,20246,53,4,
2174,20247,1,11,
2175,20248,15,7,
2176,20249,1,14,
2177,20250,-1,-1,
2178,20251,-1,-1,
2179,20252,1,16,
2180,20253,1,15,
2181,20254,1,16,
2182,20255,1,15,
2183,20256,1,14,
2184,20257,3,14,
2185,20258,1,14,
2186,20259,1,15,
2187,20260,1,15,
2188,20261,6,12,
2189,20262,1,15,
2190,20263,1,14,
2191,20264,1,15,
2192,20265,1,15,
2193,20266,3,14,
2194,20267,1,14,
2195,20268,1,14,
2196,20269,7,9,
2197,20270,1,14,
2198,20271,1,11,
2199,20272,3,14,
2200,20273,7,9,
2201,20274,1,15,
2202,20275,7,5,
2203,20276,7,9,
2204,20277,1,15,
2205,20278,1,11,
2206,20279,1,11,
2207,20280,16,7,
2208,20281,7,9,
2209,20282,1,14,
2210,20283,1,15,
2211,20284,-1,-1,
2212,20285,-1,-1,
2213,20286,1,14,
2214,20287,15,7,
2215,20288,7,9,
2216,20289,7,9,
2217,20290,1,16,
2218,20291,7,9,
2219,20292,1,11,
2220,20293,1,14,
2221,20294,15,6,
2222,20295,1,11,
2223,20296,11,6,
2224,20297,-1,-1,
2225,20298,1,15,
2226,20299,-1,-1,
2227,20300,1,15,
2228,20301,7,9,
2229,20302,1,14,
2230,20303,1,15,
2231,20304,-1,-1,
2232,20305,-1,-1,
2233,20306,7,9,
2234,20307,1,16,
2235,20308,1,11,
2236,20309,1,15,
2237,20310,-1,-1,
2238,20311,1,11,
2239,20312,1,11,
2240,20313,1,14,
2241,20314,1,14,
2242,20315,1,15,
2243,20316,1,16,
2244,20317,7,9,
2245,20318,1,16,
2246,20319,81,2,
2247,20320,1,16,
2248,20321,1,11,
2249,20322,7,9,
2250,20323,1,16,
2251,20324,-1,-1,
2252,20325,7,9,
2253,20326,1,10,
2254,20327,53,4,
2255,20328,1,11,
2256,20329,1,16,
2257,20330,79,1,
2258,20331,1,11,
2259,20332,1,11,
2260,20333,1,16,
2261,20334,1,15,
2262,20335,56,2,
2263,20336,-1,-1,
2264,20337,31,6,
2265,20338,1,15,
2266,20339,1,16,
2267,20340,1,14,
2268,20341,25,6,
2269,20342,1,15,
2270,20343,1,16,
2271,20344,1,15,
2272,20345,1,16,
2273,20346,11,7,
2274,20347,1,15,
2275,20348,1,16,
2276,20349,1,13,
2277,20350,1,16,
2278,20351,1,14,
2279,20352,81,2,
2280,20353,1,14,
2281,20354,-1,-1,
2282,20355,1,14,
2283,20356,7,8,
2284,20357,1,14,
2285,20358,1,14,
2286,20359,-1,-1,
2287,20360,1,15,
2288,20361,1,14,
2289,20362,11,7,
2290,20363,-1,-1,
2291,20364,-1,-1,
2292,20365,1,11,
2293,20366,1,15,
2294,20367,-1,-1,
2295,20368,1,15,
2296,20369,11,6,
2297,20370,31,6,
2298,20371,1,11,
2299,20372,93,0,
2300,20373,-1,-1,
2301,20374,7,9,
2302,20375,1,15,
2303,20376,1,15,
2304,20377,1,15,
2305,20378,1,14,
2306,20379,1,16,
2307,20380,-1,-1,
2308,20381,-1,-1,
2309,20382,1,14,
2310,20383,1,15,
2311,20384,7,9,
2312,20385,1,14,
2313,20386,3,14,
2314,20387,31,6,
2315,20388,1,11,
2316,20389,1,16,
2317,20390,7,9,
2318,20391,1,16,
2319,20392,1,16,
2320,20393,1,16,
2321,20394,1,15,
2322,20395,11,6,
2323,20396,11,6,
2324,20397,-1,-1,
2325,20398,1,15,
2326,20399,-1,-1,
2327,20400,1,16,
2328,20401,7,9,
2329,20402,1,16,
2330,20403,1,11,
2331,20404,94,0,
2332,20405,1,11,
2333,20406,1,11,
2334,20407,1,15,
2335,20408,11,7,
2336,20409,53,4,
2337,20410,1,15,
2338,20411,1,15,
2339,20412,1,15,
2340,20413,1,11,
2341,20414,1,11,
2342,20415,1,15,
2343,20416,1,14,
2344,20417,1,11,
2345,20418,1,11,
2346,20419,7,9,
2347,20420,-1,-1,
2348,20421,-1,-1,
2349,20422,25,6,
2350,20423,13,6,
2351,20424,11,6,
2352,20425,1,14,
2353,20426,69,2,
2354,20427,1,15,
2355,20428,1,14,
2356,20429,1,16,
2357,20430,1,16,
2358,20431,1,11,
2359,20432,3,14,
2360,20433,1,11,
2361,20434,-1,-1,
2362,20435,-1,-1,
2363,20436,1,11,
2364,20437,1,15,
2365,20438,1,15,
2366,20439,1,15,
2367,20440,1,15,
2368,20441,1,11,
2369,20442,1,15,
2370,20443,-1,-1,
2371,20444,25,6,
2372,20445,1,14,
2373,20446,1,16,
2374,20447,16,8,
2375,20448,1,11,
2376,20449,1,15,
2377,20450,1,16,
2378,20451,1,10,
2379,20452,1,11,
2380,20453,1,15,
2381,20454,11,7,
2382,20455,7,9,
2383,20456,-1,-1,
2384,20457,7,9,
2385,20458,1,11,
2386,20459,-1,-1,
2387,20460,3,14,
2388,20461,1,11,
2389,20462,1,15,
2390,20463,1,16,
2391,20464,11,7,
2392,20465,-1,-1,
2393,20466,7,9,
2394,20467,1,11,
2395,20468,1,11,
2396,20469,11,7,
2397,20470,1,11,
2398,20471,1,15,
2399,20472,3,14,
2400,20473,1,11,
2401,20474,1,15,
2402,20475,1,15,
2403,20476,-1,-1,
2404,20477,-1,-1,
2405,20478,13,6,
2406,20479,1,15,
2407,20480,1,15,
2408,20481,1,15,
2409,20482,-1,-1,
2410,20483,1,15,
2411,20484,3,14,
2412,20485,1,16,
2413,20486,53,4,
2414,20487,1,14,
2415,20488,1,15,
2416,20489,1,11,
2417,20490,11,7,
2418,20491,1,16,
2419,20492,1,15,
2420,20493,11,7,
2421,20494,1,16,
2422,20495,3,14,
2423,20496,1,11,
2424,20497,7,9,
2425,20498,1,11,
2426,20499,53,4,
2427,20500,7,9,
2428,20600,1,16,
2429,20601,1,16,
2430,20602,11,8,
2431,20603,1,16,
2432,20604,11,8,
2433,20605,1,15,
2434,20606,7,10,
2435,20607,1,15,
2436,20608,3,14,
2437,20609,1,15,
2438,20610,1,11,
2439,20611,1,11,
2440,20612,1,15,
2441,20613,1,15,
2442,20614,1,11,
2443,20615,53,4,
2444,20616,1,15,
2445,20617,1,11,
2446,20618,1,11,
2447,20619,1,15,
2448,20620,1,11,
2449,20621,11,7,
2450,20622,3,14,
2451,20623,55,1,
2452,20624,7,9,
2453,20625,1,16,
2454,20626,1,16,
2455,20627,7,9,
2456,20628,-1,-1,
2457,20629,7,10,
2458,20630,1,11,
2459,20631,1,15,
2460,20632,11,8,
2461,20633,1,16,
2462,20634,1,16,
2463,20635,1,11,
2464,20636,1,16,
2465,20637,1,16,
2466,20638,-1,-1,
2467,20639,1,16,
2468,20640,1,15,
2469,20641,1,16,
2470,20642,11,7,
2471,20643,15,8,
2472,20644,1,16,
2473,20645,1,16,
2474,20646,53,4,
2475,20647,7,10,
2476,20648,1,15,
2477,20649,1,16,
2478,20650,1,16,
2479,20651,11,8,
2480,20652,1,16,
2481,20653,1,15,
2482,20654,1,16,
2483,20655,1,16,
2484,20656,1,16,
2485,20657,1,16,
2486,20658,1,15,
2487,20659,1,16,
2488,20660,7,9,
2489,20661,48,2,
2490,20662,1,15,
2491,20663,1,16,
2492,20664,1,11,
2493,20665,31,7,
2494,20666,92,1,
2495,20667,1,11,
2496,20668,1,15,
2497,20669,3,14,
2498,20670,81,3,
2499,20671,1,16,
2500,20672,-1,-1,
2501,20673,1,16,
2502,20674,1,11,
2503,20675,74,1,
2504,20676,1,15,
2505,20677,3,14,
2506,20678,1,16,
2507,20679,1,15,
2508,20680,7,10,
2509,20681,37,2,
2510,20682,1,12,
2511,20683,1,15,
2512,20684,1,15,
2513,20685,1,15,
2514,20686,1,12,
2515,20687,15,8,
2516,20688,1,15,
2517,20689,1,12,
2518,20690,7,9,
2519,20691,1,15,
2520,20692,7,9,
2521,20693,15,8,
2522,20694,3,15,
2523,20695,1,15,
2524,20696,1,16,
2525,20697,11,8,
2526,20698,1,12,
2527,20699,7,9,
2528,20700,1,16,
2529,20701,1,12,
2530,20702,11,8,
2531,20703,1,16,
2532,20704,-1,-1,
2533,20705,81,3,
2534,20706,1,15,
2535,20707,1,16,
2536,20708,-1,-1,
2537,20709,1,12,
2538,20710,3,14,
2539,20711,1,15,
2540,20712,1,16,
2541,20713,1,16,
2542,20714,1,15,
2543,20715,15,8,
2544,20716,1,15,
2545,20717,-1,-1,
2546,20718,7,9,
2547,20719,1,15,
2548,20720,1,15,
2549,20721,1,12,
2550,20722,1,16,
2551,20723,1,12,
2552,20724,1,12,
2553,20725,1,16,
2554,20726,1,15,
2555,20727,1,12,
2556,20728,7,5,
2557,20729,-1,-1,
2558,20730,1,16,
2559,20731,1,15,
2560,20732,1,12,
2561,20733,1,15,
2562,20734,1,15,
2563,20735,1,16,
2564,20736,1,15,
2565,20737,15,8,
2566,20738,11,7,
2567,20739,1,12,
2568,20740,1,16,
2569,20741,1,15,
2570,20742,55,1,
2571,20743,1,15,
2572,20744,1,16,
2573,20745,7,9,
2574,20746,1,16,
2575,20747,1,15,
2576,20748,7,9,
2577,20749,1,12,
2578,20750,1,12,
2579,20751,11,8,
2580,20752,1,12,
2581,20753,-1,-1,
2582,20754,1,12,
2583,20755,1,16,
