PositionX,PositionY,Distant,Lag,TemperatureMEAN1,TemperatureMEAN2,TemperatureMEAN3,TemperatureMEAN4,TemperatureMEAN5,TemperatureMEAN6,TemperatureMEAN7,TemperatureMEAN8,TemperatureMEAN9,TemperatureMEAN10,TemperatureMEAN11,TemperatureMEAN12,TemperatureMEAN13,TemperatureMEAN14,TemperatureMEAN15,TemperatureMEAN16,TemperatureMEAN17,TemperatureMEAN18,TemperatureMEAN19,TemperatureMEAN20,T_MinMIN1,T_MinMIN2,T_MinMIN3,T_MinMIN4,T_MinMIN5,T_MinMIN6,T_MinMIN7,T_MinMIN8,T_MinMIN9,T_MinMIN10,T_MinMIN11,T_MinMIN12,T_MinMIN13,T_MinMIN14,T_MinMIN15,T_MinMIN16,T_MinMIN17,T_MinMIN18,T_MinMIN19,T_MinMIN20,PrecpSUM1,PrecpSUM2,PrecpSUM3,PrecpSUM4,PrecpSUM5,PrecpSUM6,PrecpSUM7,PrecpSUM8,PrecpSUM9,PrecpSUM10,PrecpSUM11,PrecpSUM12,PrecpSUM13,PrecpSUM14,PrecpSUM15,PrecpSUM16,PrecpSUM17,PrecpSUM18,PrecpSUM19,PrecpSUM20,Ndvi,PopDen,
8.027442e-01,8.007895e-01,-3.748556e-01,-2.943268e-01,-1.679007e-01,-1.763084e-01,-1.845377e-01,-1.848757e-01,-1.741195e-01,-1.360474e-01,-7.150346e-02,-1.419355e-02,5.289321e-02,1.192151e-01,1.328881e-01,1.744764e-01,2.029427e-01,2.272436e-01,2.593670e-01,2.641890e-01,2.755770e-01,3.086132e-01,3.050296e-01,3.027678e-01,-2.264156e-01,-1.582808e-01,-1.233776e-01,-1.114001e-01,-1.606810e-01,-1.948476e-01,-1.796156e-01,-1.385518e-01,-1.152609e-01,5.518555e-02,1.484949e-01,1.243134e-01,1.395678e-01,1.507857e-01,1.512895e-01,2.031955e-01,2.807542e-01,3.928575e-01,3.799072e-01,3.774373e-01,5.263326e-02,1.150819e-01,1.889364e-01,2.465156e-01,4.593675e-01,5.086579e-01,5.366824e-01,5.466293e-01,5.622886e-01,4.358170e-01,4.479275e-01,8.526859e-02,9.164082e-02,1.849550e-02,-6.550999e-02,-9.992186e-02,-1.320414e-01,-2.119192e-01,-1.836785e-01,-2.182252e-01,2.484606e-01,4.079709e-01,
9.903579e-01,1.030775e+00,-2.271403e-01,-2.889806e-01,5.588063e-02,1.420317e-02,-4.773583e-02,-8.015701e-02,-8.932497e-02,-1.157411e-01,-1.553231e-01,-1.701190e-01,-2.302715e-01,-2.449088e-01,-2.508903e-01,-1.974310e-01,-1.169390e-01,-4.232025e-02,4.878126e-02,8.525440e-02,1.514085e-01,2.084660e-01,2.447732e-01,2.629740e-01,-3.413503e-03,-3.031792e-02,-6.772158e-02,-1.783696e-02,-1.955591e-01,-2.384699e-01,-2.692716e-01,-2.982521e-01,-3.684926e-01,-3.162056e-01,-8.647454e-02,-1.896926e-01,-1.881081e-01,-1.906951e-01,-1.674904e-01,-9.796339e-02,1.124358e-02,3.723958e-01,3.765661e-01,3.626923e-01,-3.835280e-01,-3.710620e-01,-1.522132e-01,-1.591977e-02,1.734025e-01,2.474340e-01,2.683166e-01,3.218671e-01,4.573904e-01,4.537060e-01,4.786136e-01,1.798263e-01,9.361417e-02,9.418551e-02,7.623194e-02,1.650056e-01,1.626451e-01,7.358771e-02,8.230925e-02,1.478055e-01,5.792994e-01,4.147644e-01,
2.948970e-01,3.869519e-01,-1.552842e-01,-1.855010e-01,1.208627e-01,9.449289e-02,6.790186e-02,6.375347e-02,5.893114e-02,4.404857e-02,1.426904e-02,1.159840e-02,-2.815059e-02,-5.950502e-02,-8.843630e-02,-7.393732e-02,-3.147611e-02,5.043249e-03,4.379710e-02,6.783747e-02,1.117715e-01,1.383289e-01,1.574827e-01,1.579193e-01,1.370424e-01,8.865640e-02,6.349968e-02,1.207043e-01,2.649745e-02,-1.664701e-03,-6.630948e-03,-1.057711e-02,-2.257114e-02,-1.935348e-02,2.498282e-02,-4.274040e-02,-5.026744e-02,-4.551290e-02,-3.338056e-02,-1.418507e-02,7.269744e-03,1.408339e-01,1.439082e-01,1.336195e-01,-2.013235e-01,-1.694630e-01,-8.597145e-02,-8.061524e-02,-5.864717e-02,-3.428512e-02,-3.432588e-02,-3.081765e-02,3.850808e-05,1.965269e-02,9.698182e-02,1.296265e-01,8.567502e-02,1.147368e-01,1.340398e-01,1.927890e-01,1.789987e-01,1.627403e-01,1.111360e-01,1.593582e-01,3.101904e-01,2.401132e-02,
1.467099e-01,2.610036e-01,-1.558128e-01,-1.489597e-01,1.067530e-01,8.956732e-02,7.748957e-02,8.442538e-02,8.303434e-02,8.272645e-02,6.650215e-02,7.685891e-02,5.247628e-02,2.458640e-02,-8.418184e-03,-8.545418e-03,1.654519e-02,3.782901e-02,5.765530e-02,7.632709e-02,1.080887e-01,1.251288e-01,1.418908e-01,1.358782e-01,1.511292e-01,1.002510e-01,8.002973e-02,1.377057e-01,7.525981e-02,5.836820e-02,7.569720e-02,8.894792e-02,1.044753e-01,1.004291e-01,8.821831e-02,3.036380e-02,1.487714e-02,2.435925e-02,3.130357e-02,3.653718e-02,3.721343e-02,8.885762e-02,8.831989e-02,7.599736e-02,-1.020941e-01,-5.810828e-02,-1.814338e-02,-5.155976e-02,-6.763372e-02,-6.638810e-02,-8.378686e-02,-1.037048e-01,-1.095448e-01,-9.362498e-02,-8.039726e-03,1.104850e-01,8.192123e-02,1.172835e-01,1.449279e-01,1.884199e-01,1.719902e-01,1.814616e-01,1.011540e-01,1.508664e-01,2.587739e-01,-1.309233e-01,
2.269547e-01,2.976824e-01,-1.193753e-01,-1.424779e-01,9.311246e-02,7.285748e-02,5.240558e-02,4.920904e-02,4.548116e-02,3.401499e-02,1.105905e-02,8.963061e-03,-2.167818e-02,-4.584786e-02,-6.810750e-02,-5.696169e-02,-2.430861e-02,3.806498e-03,3.364425e-02,5.214912e-02,8.595946e-02,1.063957e-01,1.211469e-01,1.214880e-01,1.054531e-01,6.829214e-02,4.901083e-02,9.292867e-02,2.039190e-02,-1.315098e-03,-5.165282e-03,-8.130886e-03,-1.732300e-02,-1.489138e-02,1.927669e-02,-3.287845e-02,-3.867392e-02,-3.502223e-02,-2.573464e-02,-1.092507e-02,5.602825e-03,1.084660e-01,1.108423e-01,1.029019e-01,-1.548682e-01,-1.304223e-01,-6.624388e-02,-6.209691e-02,-4.518967e-02,-2.645014e-02,-2.650587e-02,-2.381551e-02,-9.782384e-05,1.507543e-02,7.456102e-02,9.966938e-02,6.590380e-02,8.823488e-02,1.029947e-01,1.481921e-01,1.375860e-01,1.251167e-01,8.542654e-02,1.225707e-01,2.384340e-01,1.871907e-02,
-5.350936e-04,-3.765471e-03,6.583153e-03,1.275432e-02,4.444508e-03,4.228462e-03,2.753585e-03,1.756317e-03,2.870867e-04,-1.329909e-03,-3.268006e-03,-4.380087e-03,-4.032153e-03,-4.179570e-03,-2.380497e-03,-2.016203e-03,-1.143760e-04,1.736792e-03,2.451779e-03,4.210906e-03,4.715542e-03,3.925509e-03,3.365910e-03,2.194704e-03,-1.003270e-03,4.357596e-04,-1.667817e-03,-7.061074e-03,-7.463151e-03,-6.209403e-03,-3.074192e-03,-1.280175e-03,-4.971378e-04,1.254260e-04,2.945862e-03,7.543543e-03,7.031577e-03,7.281557e-03,5.534908e-03,5.873106e-03,6.471846e-03,7.704947e-03,1.050430e-02,9.058266e-03,8.216665e-04,1.697314e-03,1.503228e-03,5.593303e-03,5.990494e-03,7.083564e-03,3.024410e-03,2.494843e-03,2.327025e-03,5.305476e-03,1.163909e-03,1.015209e-03,-4.666717e-03,-3.515104e-03,-5.709414e-03,-1.115865e-02,-1.308602e-02,-1.262100e-02,-1.374769e-02,-6.810752e-03,-1.634042e-02,6.380039e-03,
3.054294e-02,1.720407e-02,-3.599197e-02,-5.726126e-02,2.218769e-02,1.641581e-02,1.058839e-02,7.125892e-03,5.204772e-03,4.466314e-03,-1.494816e-03,-8.254977e-03,4.776973e-04,1.154499e-02,1.520065e-02,1.533360e-02,2.713060e-02,3.098782e-02,4.277494e-02,5.053008e-02,5.140393e-02,5.897075e-02,6.678984e-02,6.491414e-02,2.362523e-02,1.613870e-02,4.569453e-03,-7.220482e-04,-3.978688e-04,6.317283e-03,5.764172e-03,1.589146e-02,5.907716e-03,1.828621e-02,1.831625e-02,2.489869e-02,1.949864e-02,2.998278e-02,2.831445e-02,4.954546e-02,5.993293e-02,6.883069e-02,7.981189e-02,8.107090e-02,-1.934841e-02,-1.547925e-02,-1.060226e-02,1.447184e-03,2.614276e-02,2.858403e-02,3.846463e-02,5.998862e-02,8.232648e-02,8.183291e-02,8.233349e-02,4.373045e-02,1.077165e-02,3.554765e-02,2.697971e-02,6.474410e-03,1.334655e-02,-5.143308e-03,-6.498123e-03,2.151634e-02,-4.679404e-02,5.468666e-02,
3.771147e-01,3.743163e-01,-2.104821e-01,-1.742092e-01,-1.174323e-01,-1.232986e-01,-1.260301e-01,-1.236913e-01,-1.100124e-01,-7.706044e-02,-2.866867e-02,1.289020e-02,6.048224e-02,1.047917e-01,1.108063e-01,1.297421e-01,1.431079e-01,1.507314e-01,1.660177e-01,1.660712e-01,1.683363e-01,1.884118e-01,1.843869e-01,1.785191e-01,-1.190013e-01,-8.776899e-02,-7.139190e-02,-6.578019e-02,-9.120726e-02,-1.052148e-01,-8.952133e-02,-5.063087e-02,-2.342819e-02,6.208559e-02,1.050011e-01,1.060198e-01,1.083375e-01,1.248770e-01,1.143409e-01,1.422087e-01,1.889049e-01,2.392639e-01,2.362671e-01,2.352488e-01,3.602516e-02,9.777073e-02,1.356401e-01,1.720128e-01,2.897809e-01,3.162099e-01,3.220430e-01,3.147588e-01,3.179354e-01,2.428965e-01,2.619072e-01,6.251868e-02,6.292221e-02,4.415546e-02,-6.440269e-03,-3.797778e-02,-4.503320e-02,-1.092783e-01,-9.774570e-02,-1.012748e-01,6.051379e-02,2.177496e-01,
1.107849e+00,1.107774e+00,-4.596954e-01,-3.589055e-01,-1.736382e-01,-1.871071e-01,-2.056697e-01,-2.117515e-01,-2.068544e-01,-1.730568e-01,-1.138084e-01,-6.026459e-02,1.118072e-02,8.840498e-02,1.074749e-01,1.594759e-01,2.006132e-01,2.373045e-01,2.845465e-01,2.942826e-01,3.115027e-01,3.549652e-01,3.618762e-01,3.616736e-01,-2.727055e-01,-1.898303e-01,-1.545007e-01,-1.356669e-01,-2.031678e-01,-2.430118e-01,-2.344902e-01,-2.047847e-01,-1.991618e-01,2.417381e-02,1.502068e-01,1.032076e-01,1.213028e-01,1.286381e-01,1.387493e-01,2.137367e-01,3.193867e-01,4.807132e-01,4.651166e-01,4.616082e-01,2.105664e-02,7.167285e-02,1.844816e-01,2.610523e-01,5.364001e-01,6.010875e-01,6.489118e-01,6.918633e-01,7.361485e-01,5.845082e-01,5.899727e-01,1.239594e-01,1.103667e-01,1.926087e-02,-7.937408e-02,-1.143362e-01,-1.538851e-01,-2.373280e-01,-2.068947e-01,-2.342469e-01,3.947566e-01,4.864155e-01,
1.457310e+00,1.458786e+00,-5.153421e-01,-4.048796e-01,-1.647601e-01,-1.864408e-01,-2.224002e-01,-2.381085e-01,-2.403407e-01,-2.157116e-01,-1.705761e-01,-1.275819e-01,-6.002433e-02,2.549971e-02,5.092817e-02,1.125264e-01,1.701368e-01,2.215541e-01,2.871749e-01,3.032250e-01,3.279264e-01,3.828130e-01,4.048046e-01,4.068975e-01,-3.050512e-01,-2.125306e-01,-1.865511e-01,-1.571584e-01,-2.490641e-01,-2.927396e-01,-2.957312e-01,-2.875245e-01,-3.078447e-01,-4.113910e-02,1.315605e-01,5.710747e-02,7.247688e-02,7.273877e-02,9.330101e-02,1.947991e-01,3.377759e-01,5.634100e-01,5.474613e-01,5.411772e-01,-5.294812e-02,-1.918043e-02,1.545174e-01,2.642504e-01,6.065313e-01,6.907111e-01,7.526126e-01,8.324182e-01,9.185344e-01,7.459739e-01,7.399667e-01,1.659933e-01,1.147290e-01,2.266740e-02,-7.933519e-02,-1.096042e-01,-1.508148e-01,-2.409350e-01,-2.133543e-01,-2.154732e-01,5.710394e-01,5.272295e-01,
