PositionX,PositionY,Distant,Lag,TemperatureMEAN1,TemperatureMEAN2,TemperatureMEAN3,TemperatureMEAN4,TemperatureMEAN5,TemperatureMEAN6,TemperatureMEAN7,TemperatureMEAN8,TemperatureMEAN9,TemperatureMEAN10,TemperatureMEAN11,TemperatureMEAN12,TemperatureMEAN13,TemperatureMEAN14,TemperatureMEAN15,TemperatureMEAN16,TemperatureMEAN17,TemperatureMEAN18,TemperatureMEAN19,TemperatureMEAN20,T_MinMIN1,T_MinMIN2,T_MinMIN3,T_MinMIN4,T_MinMIN5,T_MinMIN6,T_MinMIN7,T_MinMIN8,T_MinMIN9,T_MinMIN10,T_MinMIN11,T_MinMIN12,T_MinMIN13,T_MinMIN14,T_MinMIN15,T_MinMIN16,T_MinMIN17,T_MinMIN18,T_MinMIN19,T_MinMIN20,PrecpSUM1,PrecpSUM2,PrecpSUM3,PrecpSUM4,PrecpSUM5,PrecpSUM6,PrecpSUM7,PrecpSUM8,PrecpSUM9,PrecpSUM10,PrecpSUM11,PrecpSUM12,PrecpSUM13,PrecpSUM14,PrecpSUM15,PrecpSUM16,PrecpSUM17,PrecpSUM18,PrecpSUM19,PrecpSUM20,Ndvi,PopDen,
-2.252487e-02,-1.341069e-02,3.118927e-02,-8.195447e-02,-3.972011e-02,-4.378740e-02,-6.151155e-02,-6.825606e-02,-6.043750e-02,-5.092333e-02,-4.930667e-02,-3.426176e-02,-1.346512e-02,1.651731e-02,2.285663e-02,8.634648e-03,-6.220284e-03,-1.610727e-02,-4.541962e-02,-6.398338e-02,-7.309218e-02,-8.936137e-02,-1.024577e-01,-1.058760e-01,1.060668e-04,-8.577234e-03,-2.906617e-04,-7.737656e-03,-4.348923e-03,-9.082550e-03,-1.940264e-02,-2.595149e-02,-3.346457e-02,-6.769476e-02,8.871038e-03,-2.991363e-02,-2.876481e-02,-6.902425e-02,-6.590719e-02,-7.155134e-02,-8.210335e-02,-8.728931e-02,-1.224348e-01,-1.425324e-01,-4.067053e-02,-5.137292e-02,-1.298990e-02,3.264587e-02,3.103061e-02,3.726650e-02,5.217830e-02,5.072450e-02,5.147965e-02,-2.729433e-03,-6.876344e-02,-5.225340e-02,-3.849806e-02,-3.609998e-02,5.638975e-02,9.905114e-02,1.094223e-01,1.128818e-01,1.262015e-01,1.733811e-01,-6.029377e-02,3.644129e-03,
-4.310269e-03,-8.619271e-02,-2.177841e-02,-6.922977e-02,7.033490e-02,7.824771e-02,9.012829e-02,9.438939e-02,9.398237e-02,6.732395e-02,3.465455e-02,1.717535e-02,1.320579e-02,9.756348e-03,9.357620e-03,-3.700993e-03,3.143363e-02,5.895732e-02,3.959065e-02,5.269324e-02,8.520570e-02,9.711502e-02,9.351753e-02,6.603938e-02,4.773749e-02,5.843636e-02,6.606240e-02,1.282179e-01,1.350857e-01,1.034829e-01,7.183453e-02,1.576013e-01,2.146173e-01,1.374195e-01,1.648327e-01,7.102260e-02,1.181160e-01,1.162434e-01,1.146942e-01,1.509983e-01,1.256714e-01,3.902546e-02,2.090838e-03,-6.403307e-02,1.069512e-02,-7.458003e-02,-1.287450e-01,-1.656012e-01,-1.795976e-01,-1.074607e-01,-4.259821e-02,-2.853195e-02,-1.199287e-02,1.188493e-02,2.456438e-02,9.435985e-02,2.351632e-02,-3.781702e-02,1.252095e-01,1.518345e-01,1.483605e-01,1.742455e-01,1.935102e-01,2.278633e-01,-3.708351e-02,2.163528e-02,
-3.482604e-02,-8.870867e-02,1.783597e-02,-1.186166e-01,-2.067086e-02,-1.605506e-02,-1.948947e-02,-2.270290e-02,-8.154022e-03,-1.325797e-02,-3.593955e-02,-1.718049e-02,1.590464e-02,4.015986e-02,4.449262e-02,1.246867e-02,1.759948e-02,1.641548e-02,-4.458943e-02,-6.195594e-02,-4.859364e-02,-5.193702e-02,-5.772372e-02,-7.850972e-02,4.045732e-03,2.617714e-02,4.499219e-02,8.599727e-02,9.429625e-02,7.276928e-02,3.424001e-02,9.010921e-02,1.590418e-01,7.049706e-02,1.531867e-01,2.010133e-02,5.112763e-02,1.230754e-02,1.972436e-02,4.241549e-02,5.420967e-03,-6.786753e-02,-1.541680e-01,-2.395801e-01,1.235870e-02,-7.400078e-02,-8.774890e-02,-7.069694e-02,-8.956190e-02,-3.347679e-02,4.205551e-02,4.653017e-02,3.681716e-02,-9.995831e-03,-7.040984e-02,1.069495e-02,-2.714350e-02,-4.971563e-02,2.103726e-01,2.756277e-01,3.219296e-01,3.705874e-01,3.903204e-01,4.868777e-01,-4.975659e-02,-1.643761e-02,
-7.434092e-02,-7.983841e-02,8.364189e-02,-2.050667e-01,-1.132322e-01,-1.156637e-01,-1.499065e-01,-1.710676e-01,-1.468825e-01,-1.282921e-01,-1.406383e-01,-8.465683e-02,-1.687932e-02,4.806970e-02,5.987128e-02,5.822420e-03,-3.091757e-02,-6.753414e-02,-1.750222e-01,-2.284502e-01,-2.407890e-01,-2.739110e-01,-2.943488e-01,-3.086083e-01,-1.448947e-02,-2.904220e-03,3.513402e-02,3.064947e-02,3.623019e-02,2.309620e-02,-2.333796e-02,-1.780085e-02,1.995218e-02,-1.050094e-01,7.706411e-02,-8.555227e-02,-7.644772e-02,-1.684469e-01,-1.544217e-01,-1.590367e-01,-2.110204e-01,-2.585462e-01,-4.035878e-01,-5.003985e-01,-2.150167e-02,-1.096892e-01,-6.402752e-02,3.796269e-02,2.715413e-02,6.388114e-02,1.463078e-01,1.380972e-01,1.159395e-01,-1.562430e-02,-1.806896e-01,-9.147405e-02,-7.576927e-02,-4.607921e-02,3.216077e-01,4.498759e-01,5.303892e-01,5.876048e-01,6.081872e-01,7.761369e-01,-1.059275e-01,-4.280834e-02,
-7.933834e-02,-5.677675e-02,1.017615e-01,-2.450708e-01,-1.395404e-01,-1.492664e-01,-2.022285e-01,-2.287539e-01,-2.033771e-01,-1.748332e-01,-1.760581e-01,-1.190303e-01,-4.799181e-02,3.999591e-02,5.787321e-02,4.023662e-03,-4.530861e-02,-8.492276e-02,-1.912300e-01,-2.526408e-01,-2.769968e-01,-3.256122e-01,-3.609126e-01,-3.722191e-01,-1.037816e-02,-2.567552e-02,9.273984e-03,-1.436292e-02,-7.483682e-03,-1.889261e-02,-6.126136e-02,-7.721630e-02,-8.936136e-02,-2.150484e-01,1.898363e-02,-1.181544e-01,-1.147232e-01,-2.333479e-01,-2.202559e-01,-2.407199e-01,-2.855033e-01,-3.105396e-01,-4.474924e-01,-5.287016e-01,-9.016544e-02,-1.496983e-01,-5.144168e-02,9.108026e-02,8.739428e-02,1.123052e-01,1.781206e-01,1.703520e-01,1.622799e-01,-2.544634e-03,-2.139898e-01,-1.433077e-01,-1.031194e-01,-7.315787e-02,2.695388e-01,4.153981e-01,4.700334e-01,5.019605e-01,5.341491e-01,7.004858e-01,-1.751253e-01,-3.009500e-03,
-1.192553e-03,-5.135273e-04,1.095577e-02,-1.678467e-02,-7.944656e-03,-8.787095e-03,-1.115722e-02,-1.055165e-02,-8.274632e-03,-5.165038e-03,-2.542653e-03,1.247124e-03,5.264818e-03,1.101234e-02,1.160375e-02,9.406000e-03,6.440198e-03,4.731606e-03,-5.291434e-04,-3.785324e-03,-5.726210e-03,-8.456806e-03,-1.129089e-02,-1.298085e-02,-9.999973e-04,-3.171834e-03,-1.825586e-03,-2.978547e-03,-2.146733e-04,-2.171912e-03,-5.831293e-04,-3.122988e-03,7.769419e-04,-4.468581e-03,1.103054e-02,8.958029e-04,1.181413e-03,-6.205626e-03,-7.181798e-03,-7.814948e-03,-8.915371e-03,-1.074569e-02,-1.699651e-02,-1.997814e-02,-3.394299e-03,-6.774811e-04,7.376693e-03,1.445497e-02,1.237688e-02,1.263423e-02,1.136419e-02,8.867220e-03,7.322163e-03,-5.444576e-03,-1.495136e-02,-1.202705e-02,-9.282048e-03,-1.158619e-02,4.333447e-03,1.096937e-02,1.135623e-02,8.025207e-03,8.639349e-03,1.986290e-02,-5.332738e-03,-8.938289e-03,
3.207996e-02,1.840626e-02,-3.620771e-03,-1.147992e-02,2.315234e-02,2.003661e-02,1.932741e-02,2.074137e-02,1.725768e-02,1.160837e-02,5.156969e-03,2.416262e-03,-1.221077e-03,-2.738491e-03,-7.150747e-03,-4.812326e-03,-3.174343e-03,-1.137285e-03,-2.385768e-03,-2.840949e-03,-4.888616e-03,-4.081680e-03,-6.982201e-03,-1.218369e-02,1.872929e-02,2.032273e-02,1.620450e-02,9.036346e-03,1.146560e-02,6.124907e-03,3.910928e-03,-4.136110e-03,1.208923e-02,4.496521e-03,2.881104e-03,-1.603965e-02,-1.158673e-02,-1.436460e-02,-1.611447e-02,-1.397101e-02,-1.477295e-02,-1.756079e-02,-1.949342e-02,-1.468859e-02,-8.856550e-03,-4.840011e-03,-6.470124e-03,-1.899452e-02,-2.966985e-02,-2.916632e-02,-3.044671e-02,-3.358670e-02,-4.132034e-02,-3.956488e-02,-1.729472e-02,-2.923013e-03,-5.988522e-03,-1.429217e-02,-8.723140e-03,-7.090575e-03,-7.115888e-03,-1.190722e-02,-1.108679e-02,8.581516e-03,1.340486e-02,-5.251251e-02,
5.425838e-02,2.480123e-02,-3.044486e-02,-2.093909e-02,9.033101e-02,8.763452e-02,8.545147e-02,8.287729e-02,6.672761e-02,4.469583e-02,1.776498e-02,2.895968e-04,-1.954010e-02,-2.909634e-02,-4.038508e-02,-3.625247e-02,-3.237955e-02,-2.757961e-02,-2.936314e-02,-2.468415e-02,-2.362456e-02,-2.219585e-02,-2.500564e-02,-3.391542e-02,7.356538e-02,7.952859e-02,7.991314e-02,5.919567e-02,5.626855e-02,3.545631e-02,2.124493e-02,1.366718e-02,2.676104e-02,-4.362597e-03,-7.578249e-03,-5.095427e-02,-4.496977e-02,-4.824394e-02,-5.366531e-02,-3.754166e-02,-4.626176e-02,-5.510633e-02,-5.958496e-02,-4.828453e-02,-2.030067e-02,-4.861742e-02,-7.449829e-02,-1.020817e-01,-1.146610e-01,-1.013453e-01,-9.989451e-02,-1.043344e-01,-1.058841e-01,-8.172960e-02,-3.408687e-02,-1.548773e-04,-6.292246e-03,-8.953620e-03,1.503831e-02,2.135322e-02,2.131431e-02,2.546303e-02,2.700282e-02,5.790145e-02,2.779977e-02,-9.399256e-02,
5.230839e-02,2.023818e-02,-3.992174e-02,-2.496721e-02,1.165692e-01,1.159819e-01,1.142612e-01,1.101050e-01,8.818317e-02,5.945717e-02,2.276166e-02,-1.154469e-03,-2.815812e-02,-4.154392e-02,-5.427625e-02,-4.907835e-02,-4.365558e-02,-3.606592e-02,-3.729996e-02,-3.001768e-02,-2.627843e-02,-2.512491e-02,-2.708702e-02,-3.750551e-02,9.213856e-02,9.987987e-02,1.056304e-01,8.171318e-02,7.738062e-02,5.021529e-02,3.152637e-02,2.338173e-02,3.643965e-02,-6.052339e-03,-8.706717e-03,-6.034368e-02,-5.557213e-02,-5.657837e-02,-6.370016e-02,-4.076813e-02,-5.347041e-02,-6.579432e-02,-7.147868e-02,-5.933722e-02,-1.905068e-02,-6.601064e-02,-1.067987e-01,-1.399852e-01,-1.497769e-01,-1.313906e-01,-1.248291e-01,-1.282580e-01,-1.246043e-01,-8.917098e-02,-3.440689e-02,5.207228e-03,-3.956855e-05,-3.831026e-03,2.945800e-02,3.795514e-02,3.766291e-02,4.579341e-02,4.197107e-02,7.281145e-02,3.495837e-02,-1.063050e-01,
5.425838e-02,2.480123e-02,-3.044486e-02,-2.093909e-02,9.033101e-02,8.763452e-02,8.545147e-02,8.287729e-02,6.672761e-02,4.469583e-02,1.776498e-02,2.895968e-04,-1.954010e-02,-2.909634e-02,-4.038508e-02,-3.625247e-02,-3.237955e-02,-2.757961e-02,-2.936314e-02,-2.468415e-02,-2.362456e-02,-2.219585e-02,-2.500564e-02,-3.391542e-02,7.356538e-02,7.952859e-02,7.991314e-02,5.919567e-02,5.626855e-02,3.545631e-02,2.124493e-02,1.366718e-02,2.676104e-02,-4.362597e-03,-7.578249e-03,-5.095427e-02,-4.496977e-02,-4.824394e-02,-5.366531e-02,-3.754166e-02,-4.626176e-02,-5.510633e-02,-5.958496e-02,-4.828453e-02,-2.030067e-02,-4.861742e-02,-7.449829e-02,-1.020817e-01,-1.146610e-01,-1.013453e-01,-9.989451e-02,-1.043344e-01,-1.058841e-01,-8.172960e-02,-3.408687e-02,-1.548773e-04,-6.292246e-03,-8.953620e-03,1.503831e-02,2.135322e-02,2.131431e-02,2.546303e-02,2.700282e-02,5.790145e-02,2.779977e-02,-9.399256e-02,
