 Percentage, ConnectedPair, Lag_lb, Lag_ub, Distance, Count, Entropy, R2PI 
1.500000e-01,3.854000e+03,7.000000e+00,7.000000e+00,2.000000e+02,2.113000e+03,1.056500e+16,1.681472e+13,
2.000000e-01,5.822000e+03,7.000000e+00,7.000000e+00,2.600000e+02,2.633000e+03,1.012692e+16,1.239808e+13,
2.500000e-01,8.714000e+03,7.000000e+00,7.000000e+00,3.300000e+02,3.118000e+03,9.448485e+15,9.113776e+12,
3.000000e-01,2.222400e+04,7.000000e+00,8.000000e+00,3.900000e+02,4.063000e+03,1.041795e+01,8.502913e-03,
3.500000e-01,2.797300e+04,7.000000e+00,8.000000e+00,4.500000e+02,4.322000e+03,9.604444e+00,6.793755e-03,
